id,name_english,name_spanish,website,languages_spoken_english,languages_spoken_spanish,customers_served_english,customers_served_spanish,notes_english,notes_spanish,categories_english,categories_spanish,tags_english,tags_spanish
831,Villa Majella,Villa Majella,https://www.villamajella.org/,English,ingles,Pregnant Women,Mujeres embarazadas,Sober living home for pregnant women. Transitional housing for up to 5 women and their babies. Able to stay through pregnancy and up to 3-6  months post-pregnancy. Must be clean and sober 30 days prior to admittance.Cost: $250/month AND $50 deposit,Hogar de vida sobria para mujeres embarazadas. Vivienda de transicion para hasta 5 mujeres y sus bebes. Capaz de permanecer durante el embarazo y hasta 3-6 meses despues del embarazo. Debe estar limpio y sobrio 30 dias antes de la admision. Costo: $ 250 / mes Y deposito de $ 50,substance use<&&>women,uso de sustancias<&&>mujeres,women<&&>deposit<&&>villa majella<&&>english<&&>pregnancy services<&&>days<&&>must<&&>pregnant<&&>sober living homes<&&>santa barbara<&&>substance use<&&>drugs<&&>addiction<&&>clean<&&>30<&&>living<&&>pregnant women<&&>recovery<&&>250month<&&>604 n. kellog avenue<&&>home<&&>50<&&>admittancecost<&&>prior<&&>alcohol<&&>sober<&&>93111,recuperacion<&&>hogares para vivir sobrios<&&>villa majella<&&>250 meses<&&>limpiar<&&>dias<&&>deposito<&&>ingles<&&>mujeres embarazadas<&&>casa<&&>vivo<&&>servicios de embarazo<&&>30<&&>antes<&&>604 n . avenida kellog<&&>santa barbara<&&>deber<&&>uso de sustancias<&&>adiccion<&&>drogas<&&>sobrio<&&>mujer<&&>costo de admision<&&>50<&&>alcohol<&&>embarazada<&&>93111
832,Jennings Street House ,Casa de la calle Jennings,,English,ingles,Women,Mujeres,Sober living home for women. Mild mental illness with medication permitted. Must interview.Cost: $150/week OR $600/month AND $100,Hogar de vida sobria para mujeres. Enfermedad mental leve con medicacion permitida. Debe entrevistar. Costo: $ 150 / semana O $ 600 / mes Y $ 100,substance use<&&>women,uso de sustancias<&&>mujeres,women<&&>jennings street house<&&>english<&&>medication<&&>must<&&>permitted<&&>100<&&>sober living homes<&&>interviewcost<&&>150week<&&>93103<&&>600month<&&>substance use<&&>drugs<&&>addiction<&&>mild<&&>832 jennings street<&&>living<&&>recovery<&&>illness<&&>home<&&>mental<&&>santa barbara<&&>alcohol<&&>sober,costo de entrevista<&&>recuperacion<&&>hogares de vida sobria<&&>150 semanas<&&>medicacion<&&>100<&&>ingles<&&>93103<&&>600 meses<&&>mujeres<&&>vivo<&&>leve<&&>832 jennings street<&&>enfermedad<&&>permitido<&&>casa de la calle jennings<&&>uso de sustancias<&&>mental<&&>adiccion<&&>drogas<&&>sobrio<&&>debe<&&>santa barbara<&&>alcohol<&&>hogar
833,Allstar Recovery,Recuperacion de Allstar,https://www.allstarrecoverysb.com/,English,ingles,Men,Pero,Sober living home for men.Cost: $700/month OR $175/week,Hogar de vida sobria para hombres. Costo: $ 700 / mes O $ 175 / semana,substance use,uso de sustancias,1121 walnut ave<&&>english<&&>5018 calle real road<&&>175week<&&>men<&&>sober living homes<&&>93101<&&>substance use<&&>drugs<&&>addiction<&&>living<&&>recovery<&&>allstar recovery<&&>home<&&>santa barbara<&&>700month<&&>alcohol<&&>sober<&&>93111,recuperacion<&&>hogares para vivir sobrios<&&>1121 walnut ave<&&>5018 calle real road<&&>175 semanas<&&>ingles<&&>93101<&&>700 meses<&&>vivo<&&>hogar<&&>allstar recovery<&&>uso de sustancias<&&>adiccion<&&>sobrio<&&>hombres<&&>santa barbara<&&>alcohol<&&>drogas<&&>93111
834,Cottage Health,Salud de la cabana,https://www.cottagehealth.org/services/psychiatry-and-addiction-medicine/psychiatry-and-inpatient-medical-detoxification/,English,ingles,,,Cottage provides voluntary treatment of acute psychiatric crises<&&> mental health counseling<&&> and the most up-to-date<&&> effective<&&> and dignified treatment of alcoholism and drug addiction,Cottage ofrece tratamiento voluntario de crisis psiquiatricas agudas<&&> asesoramiento sobre salud mental y el tratamiento mas actualizado<&&> eficaz y digno del alcoholismo y la adiccion a las drogas.,substance use,uso de sustancias,health<&&>psychiatric<&&>voluntary<&&>english<&&>counseling<&&>cottage<&&>400 w. pueblo street<&&>dignified<&&>cottage health<&&>drug<&&>residential treatment centers<&&>uptodate<&&>detox centers<&&>crises<&&>effective<&&>93101<&&>addiction<&&>substance use<&&>drugs<&&>treatment<&&>93105<&&>acute<&&>recovery<&&>mental<&&>316 w. montecito street<&&>provides<&&>santa barbara<&&>alcohol<&&>alcoholism,ingles<&&>recuperacion<&&>salud de cabana<&&>crisis<&&>brinda<&&>salud<&&>316 w. calle montecito<&&>400 w. calle pueblo<&&>93101<&&>tratamiento<&&>centros de desintoxicacion<&&>adiccion<&&>voluntario<&&>93105<&&>actualizado<&&>centros de tratamiento residencial<&&>consejeria<&&>digno<&&>agudo<&&>uso de sustancias<&&>mental<&&>alcoholismo<&&>adiccion<&&>cabana<&&>psiquiatrico<&&>santa barbara<&&>efectivo<&&>alcohol<&&>drogas
835,Council on Alcoholism and Drug Abuse,Consejo sobre Alcoholismo y Abuso de Drogas,https://cadasb.org/,English,ingles,Men<&&> Women,Hombres mujeres,14 day social model residential detoxification for menand women.,Desintoxicacion residencial de 14 dias modelo social para hombres y mujeres.,substance use<&&>women,uso de sustancias<&&>mujeres,women<&&>232 e. canon perdido street<&&>alcohol<&&>menand<&&>english<&&>drug and alcohol counseling<&&>residential<&&>residential treatment centers<&&>men<&&>model<&&>detox centers<&&>133 w. haley street<&&>232 e. canon perdido st<&&>93101<&&>council on alcoholism and drug abuse<&&>substance use<&&>social<&&>drugs<&&>addiction<&&>1111 garden st<&&>dui<&&>outpatient treatment<&&>recovery<&&>232 east canon perdido street<&&>detoxification<&&>outpatient counseling<&&>santa barbara<&&>day<&&>14,recuperacion<&&>modelo<&&>alcohol<&&>1111 calle jardin<&&>asesoramiento ambulatorio<&&>consejo sobre alcoholismo y abuso de drogas<&&>dia<&&>ingles<&&>hombres y<&&>232 e. canon perdido st<&&>133 w. calle haley<&&>93101<&&>tratamiento ambulatorio<&&>social<&&>mujeres<&&>centros de desintoxicacion<&&>dui<&&>desintoxicacion<&&>232 este calle canon perdido<&&>centros de tratamiento residencial<&&>asesoramiento sobre drogas y alcohol<&&>uso de sustancias<&&>residencial<&&>adiccion<&&>hombres<&&>santa barbara<&&>14<&&>drogas<&&>232 e. calle canon perdido
838,Santa Barbara Rescue Mission,Mision de rescate de Santa Barbara,https://sbrm.org/,English,ingles,,,The Santa Barbara Rescue Mission is a ministry of Christian people bringing physical<&&> emotional<&&> educational and spiritual resources to all who struggle with homelessness and addiction.,La Mision de Rescate de Santa Barbara es un ministerio de personas cristianas que brinda recursos fisicos<&&> emocionales<&&> educativos y espirituales a todos los que luchan contra la falta de vivienda y la adiccion.,substance use<&&>housing,uso de sustancias<&&>vivienda,educational<&&>santa<&&>spiritual<&&>santa barbara rescue mission<&&>ministry<&&>breakfast<&&>alcohol<&&>apartments<&&>dinner<&&>barbara<&&>shelter<&&>emotional<&&>english<&&>resources<&&>people<&&>bringing<&&>homelessness<&&>residential treatment centers<&&>mission<&&>struggle<&&>rent<&&>rescue mission<&&>christian<&&>93103<&&>93101<&&>addiction<&&>alcoholics anonymous<&&>substance use<&&>drugs<&&>showers<&&>homes<&&>physical<&&>outpatient treatment<&&>recovery<&&>535 e. yanonali street<&&>outpatient counseling<&&>24 w. arrellaga street<&&>rescue<&&>santa barbara<&&>housing,santa<&&>cristiano<&&>recuperacion<&&>trayendo<&&>albergue<&&>barbara<&&>alquiler<&&>recursos<&&>cena<&&>casas<&&>gente<&&>535 e. calle Yanonali<&&>fisico<&&>alcoholicos anonimos<&&>ministerio<&&>lucha<&&>24 w. calle arrellaga<&&>consejeria ambulatoria<&&>desayunos<&&>paciente ambulatorio tratamiento<&&>mision de rescate de santa barbara<&&>vivienda<&&>ingles<&&>educativo<&&>duchas<&&>93103<&&>93101<&&>apartamentos<&&>mision<&&>emocional<&&>adiccion<&&>consumo de sustancias<&&>rescate<&&>centros de tratamiento residencial<&&>refugio<&&>mision de rescate<&&>espiritual<&&>adiccion<&&>drogas<&&>santa barbara<&&>alcohol<&&>desamparo
843,The Salvation Army,El Ejercito de Salvacion,https://santabarbara.salvationarmy.org/,English,ingles,,,Its mission is to preach the gospel of Jesus Christ and to meet human needs in His name without discrimination.,Su mision es predicar el evangelio de Jesucristo y satisfacer las necesidades humanas en Su nombre sin discriminacion.,substance use<&&>food,consumo de sustancias<&&>comida,hunger<&&>breakfast<&&>nutrition<&&>alcohol<&&>dinner<&&>preach<&&>human<&&>english<&&>rental financial assistance<&&>meet<&&>utility financial assistance<&&>423 chapala street<&&>bulk food<&&>transitional shelter<&&>hungry<&&>residential treatment centers<&&>the salvation army<&&>mission<&&>snacks<&&>93101<&&>substance use<&&>drugs<&&>addiction<&&>without<&&>jesus<&&>santa maria<&&>snack<&&>christ<&&>93454<&&>200 w. cook street<&&>meals<&&>recovery<&&>name<&&>gospel<&&>food<&&>discrimination<&&>santa barbara<&&>eat<&&>needs,nutricion<&&>recuperacion<&&>evangelio<&&>alcohol<&&>refugio de transicion<&&>reunirse<&&>desayuno<&&>santa barbara<&&>cena<&&>humano<&&>sin<&&>ayuda economica de servicios publicos<&&>discriminacion<&&>jesus<&&>calle chapala 423<&&>necesidades<&&>predicar<&&>200 w. cocinar calle<&&>ingles<&&>93101<&&>nombre<&&>hambre<&&>mision<&&>consumo de sustancias<&&>santa maria<&&>93454<&&>comidas<&&>bocadillo<&&>el ejercito de salvacion<&&>centros de tratamiento residencial<&&>comer<&&>adiccion<&&>comida a granel<&&>ayuda economica de alquiler<&&>comida<&&>cristo<&&>bocadillos<&&>drogas
844,Miracle Mountain through Teen Challenge,Montana milagrosa a traves del desafio adolescente,https://www.teenchallenge.org/centers/ventura-tri-county/,English,ingles,Christians,Cristianos,12 month Christian based program. Serves Santa Barbara County. 143-acre property located in the  Ventura foothills. Can serve up to 50 women. Cost: UKNOWN ,Programa cristiano de 12 meses. Sirve al condado de Santa Barbara. Propiedad de 143 acres ubicada en las colinas de Ventura. Puede atender hasta 50 mujeres. Costo: UKNOWN,substance use<&&>women,uso de sustancias<&&>mujeres,women<&&>santa<&&>143acre<&&>based<&&>uknown<&&>barbara<&&>english<&&>ventura<&&>property<&&>93002<&&>12<&&>residential treatment centers<&&>month<&&>miracle mountain through teen challenge<&&>christian<&&>serves<&&>program<&&>substance use<&&>drugs<&&>addiction<&&>christians<&&>cost<&&>located<&&>can<&&>serve<&&>foothills<&&>recovery<&&>county<&&>50<&&>p.o. box 1064<&&>alcohol,cristiano<&&>santa<&&>puede<&&>sirve<&&>costo<&&>recuperacion<&&>143acre<&&>propiedad<&&>barbara<&&>ventura<&&>desconocido<&&>93002<&&>12<&&>montana milagrosa a traves del desafio adolescente<&&>po box 1064<&&>programa<&&>basado<&&>condado<&&>ubicado<&&>ingles<&&>cristianos<&&>estribaciones<&&>mujeres<&&>centros de tratamiento residencial<&&>uso de sustancias<&&>adiccion<&&>mes<&&>servir<&&>50<&&>alcohol<&&>drogas
855,Zona Seca,Zona Seca,http://www.zonaseca.com/,English,ingles,,,Outpatient treatment focused on counseling<&&> prevention<&&>  and intervention. ,Tratamiento ambulatorio centrado en asesoramiento<&&> prevencion e intervencion.,substance use,uso de sustancias,93101<&&>substance use<&&>zona seca<&&>drugs<&&>addiction<&&>focused<&&>treatment<&&>intervention<&&>outpatient treatment<&&>26 w. figueroa street<&&>outpatient counseling<&&>prevention<&&>english<&&>santa barbara<&&>counseling<&&>recovery<&&>alcohol<&&>outpatient,26 w. calle figueroa<&&>ambulatorio<&&>consejeria<&&>93101<&&>recuperacion<&&>focalizado<&&>zona seca<&&>intervencion<&&>tratamiento ambulatorio<&&>prevencion<&&>uso de sustancias<&&>adiccion<&&>tratamiento<&&>consejeria ambulatoria<&&>santa barbara<&&>ingles<&&>alcohol<&&>drogas
858,Aegis,Egida,https://pinnacletreatment.com/location/california/santa-barbara/aegis-treatment-centers/,English,ingles,,,Medically assisted outpatient treatment with group and  individual counseling available. ,Tratamiento ambulatorio con asistencia medica con asesoramiento individual y grupal disponible.,substance use,uso de sustancias,medically<&&>4129 state street<&&>115 e. fesler street<&&>group<&&>individual<&&>english<&&>counseling<&&>rehab<&&>available<&&>93110<&&>unnamed service<&&>assisted<&&>substance use<&&>drugs<&&>addiction<&&>treatment<&&>aegis<&&>santa maria<&&>outpatient treatment<&&>93454<&&>recovery<&&>outpatient counseling<&&>santa barbara<&&>alcohol<&&>outpatient,ambulatorio<&&>recuperacion<&&>rehabilitacion<&&>4129 state street<&&>medicamente<&&>asistido<&&>individual<&&>consejeria ambulatoria<&&>grupal<&&>93110<&&>ingles<&&>disponible<&&>tratamiento ambulatorio<&&>aegis<&&>tratamiento<&&>santa maria<&&>93454<&&>consejeria<&&>servicio sin nombre<&&>uso de sustancias<&&>adiccion<&&>115 e. calle fesler<&&>santa barbara<&&>alcohol<&&>drogas
859,Full Spectrum Recovery ,Recuperacion de espectro completo,http://fullspectrumrecovery.com/,English,ingles,,,Group<&&> individual<&&> and family counseling and intervention. ,Asesoramiento e intervencion grupal<&&> individual y familiar.,substance use,uso de sustancias,93103<&&>youth mental health<&&>substance use<&&>drugs<&&>addiction<&&>2020 alameda padre serra<&&>outpatient counseling<&&>couples therapy<&&>full spectrum recovery<&&>santa barbara<&&>english<&&>recovery<&&>alcohol,93103<&&>terapia de pareja<&&>salud mental juvenil<&&>recuperacion<&&>recuperacion de espectro completo<&&>uso de sustancias<&&>2020 alameda padre serra<&&>adiccion<&&>consejeria ambulatoria<&&>santa barbara<&&>ingles<&&>alcohol<&&>drogas
860,Good Heart Recovery,Buena recuperacion cardiaca,https://goodheartrecovery.com/,English,ingles,,,Outpatient treatment focused on relapse prevention  with group and individual counseling and weekly testing. ,El tratamiento ambulatorio se centro en la prevencion de recaidas con asesoramiento grupal e individual y pruebas semanales.,substance use<&&>mental health,uso de sustancias<&&>salud mental,weekly<&&>health<&&>group<&&>individual<&&>english<&&>counseling<&&>drug and alcohol counseling<&&>support<&&>relapse<&&>93101<&&>santa barbara<&&>substance use<&&>drugs<&&>addiction<&&>focused<&&>treatment<&&>205 w. mission street<&&>behavioral therapy<&&>recovery<&&>testing<&&>illness<&&>mental<&&>outpatient counseling<&&>prevention<&&>good heart recovery<&&>mental health<&&>alcohol<&&>outpatient,ambulatorio<&&>recuperacion<&&>focalizado<&&>individual<&&>terapia conductual<&&>205 w. Mission Street<&&>prevencion<&&>salud<&&>consejeria ambulatoria<&&>consejeria sobre drogas y alcohol<&&>grupal<&&>ingles<&&>recaida<&&>semanal<&&>93101<&&>tratamiento<&&>enfermedad<&&>testing<&&>consejeria<&&>uso de sustancias<&&>mental<&&>adiccion<&&>salud mental<&&>santa barbara<&&>apoyo<&&>buena recuperacion cardiaca<&&>alcohol<&&>drogas
